pokemon,ability_one,ability_two,ability_three,height,weight,moves,num_moves,hp,attack,defense,special_attack,special_defense,speed,type_one,type_two
tyranitar,sand-stream,unnerve,,20,2020,"['mega-punch', 'fire-punch', 'ice-punch', 'thunder-punch', 'cut', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'thrash', 'double-edge', 'leer', 'bite', 'roar', 'flamethrower', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'low-kick', 'counter', 'seismic-toss', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'rock-throw', 'earthquake', 'dig', 'toxic', 'mimic', 'screech', 'double-team', 'focus-energy', 'fire-blast', 'rest', 'rock-slide', 'substitute', 'nightmare', 'snore', 'curse', 'spite', 'protect', 'scary-face', 'mud-slap', 'icy-wind', 'detect', 'outrage', 'sandstorm', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'dragon-breath', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'whirlpool', 'uproar', 'torment', 'facade', 'focus-punch', 'taunt', 'helping-hand', 'superpower', 'revenge', 'brick-break', 'knock-off', 'secret-power', 'rock-tomb', 'sand-tomb', 'muddy-water', 'aerial-ace', 'iron-defense', 'block', 'dragon-claw', 'mud-shot', 'dragon-dance', 'rock-blast', 'shock-wave', 'water-pulse', 'natural-gift', 'payback', 'assurance', 'fling', 'rock-polish', 'dark-pulse', 'aqua-tail', 'dragon-pulse', 'power-gem', 'focus-blast', 'earth-power', 'giga-impact', 'avalanche', 'shadow-claw', 'thunder-fang', 'ice-fang', 'fire-fang', 'rock-climb', 'iron-head', 'stone-edge', 'captivate', 'stealth-rock', 'hone-claws', 'smack-down', 'heavy-slam', 'foul-play', 'round', 'chip-away', 'incinerate', 'retaliate', 'bulldoze', 'dragon-tail', 'snarl', 'confide', 'power-up-punch', 'high-horsepower', 'brutal-swing', 'stomping-tantrum', 'body-press', 'breaking-swipe', 'lash-out', 'tera-blast', 'hard-press']",134,100,134,110,95,100,61,rock,dark
lugia,pressure,multiscale,,52,2160,"['gust', 'whirlwind', 'fly', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'roar', 'mist', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'earthquake', 'toxic', 'psychic', 'mimic', 'double-team', 'recover', 'light-screen', 'reflect', 'waterfall', 'swift', 'dream-eater', 'sky-attack', 'flash', 'rest', 'substitute', 'nightmare', 'snore', 'curse', 'aeroblast', 'protect', 'scary-face', 'mud-slap', 'zap-cannon', 'icy-wind', 'detect', 'sandstorm', 'giga-drain', 'endure', 'swagger', 'steel-wing', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dragon-breath', 'iron-tail', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'ancient-power', 'shadow-ball', 'future-sight', 'rock-smash', 'whirlpool', 'hail', 'facade', 'helping-hand', 'trick', 'skill-swap', 'imprison', 'secret-power', 'dive', 'hyper-voice', 'weather-ball', 'air-cutter', 'signal-beam', 'extrasensory', 'aerial-ace', 'calm-mind', 'shock-wave', 'water-pulse', 'roost', 'brine', 'natural-gift', 'tailwind', 'punishment', 'aqua-tail', 'air-slash', 'dragon-pulse', 'dragon-rush', 'brave-bird', 'earth-power', 'giga-impact', 'avalanche', 'zen-headbutt', 'defog', 'iron-head', 'charge-beam', 'ominous-wind', 'wonder-room', 'psyshock', 'telekinesis', 'round', 'echoed-voice', 'sky-drop', 'acrobatics', 'bulldoze', 'dragon-tail', 'hurricane', 'confide', 'laser-focus', 'liquidation', 'scale-shot', 'dual-wingbeat', 'tera-blast', 'chilling-water', 'psychic-noise']",117,106,90,130,90,154,110,psychic,flying
ho-oh,pressure,regenerator,,38,1990,"['gust', 'whirlwind', 'fly', 'body-slam', 'take-down', 'double-edge', 'roar', 'flamethrower', 'hyper-beam', 'strength', 'solar-beam', 'fire-spin', 'thunderbolt', 'thunder-wave', 'thunder', 'earthquake', 'toxic', 'psychic', 'mimic', 'double-team', 'recover', 'light-screen', 'reflect', 'fire-blast', 'swift', 'dream-eater', 'sky-attack', 'flash', 'rest', 'substitute', 'nightmare', 'snore', 'curse', 'protect', 'mud-slap', 'zap-cannon', 'detect', 'sandstorm', 'giga-drain', 'endure', 'swagger', 'steel-wing', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sacred-fire', 'dragon-breath', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'psych-up', 'ancient-power', 'shadow-ball', 'future-sight', 'rock-smash', 'heat-wave', 'will-o-wisp', 'facade', 'helping-hand', 'imprison', 'secret-power', 'hyper-voice', 'weather-ball', 'air-cutter', 'overheat', 'signal-beam', 'extrasensory', 'aerial-ace', 'calm-mind', 'shock-wave', 'roost', 'natural-gift', 'pluck', 'tailwind', 'punishment', 'flare-blitz', 'air-slash', 'brave-bird', 'earth-power', 'giga-impact', 'zen-headbutt', 'defog', 'iron-head', 'charge-beam', 'ominous-wind', 'flame-charge', 'round', 'echoed-voice', 'sky-drop', 'incinerate', 'bulldoze', 'hurricane', 'confide', 'mystical-fire', 'laser-focus', 'burn-up', 'life-dew', 'dual-wingbeat', 'scorching-sands', 'tera-blast']",102,106,130,90,110,154,90,fire,flying
celebi,natural-cure,,,6,50,"['swords-dance', 'cut', 'double-edge', 'hyper-beam', 'leech-seed', 'solar-beam', 'thunder-wave', 'toxic', 'confusion', 'psychic', 'mimic', 'double-team', 'recover', 'defense-curl', 'light-screen', 'reflect', 'metronome', 'swift', 'dream-eater', 'flash', 'rest', 'substitute', 'nightmare', 'snore', 'curse', 'protect', 'mud-slap', 'perish-song', 'detect', 'sandstorm', 'giga-drain', 'endure', 'swagger', 'sleep-talk', 'heal-bell', 'return', 'frustration', 'safeguard', 'baton-pass', 'sweet-scent', 'synthesis', 'hidden-power', 'rain-dance', 'sunny-day', 'psych-up', 'ancient-power', 'shadow-ball', 'future-sight', 'uproar', 'facade', 'nature-power', 'helping-hand', 'trick', 'magic-coat', 'skill-swap', 'imprison', 'secret-power', 'weather-ball', 'silver-wind', 'signal-beam', 'aerial-ace', 'magical-leaf', 'calm-mind', 'leaf-blade', 'shock-wave', 'water-pulse', 'healing-wish', 'natural-gift', 'u-turn', 'fling', 'heal-block', 'last-resort', 'worry-seed', 'sucker-punch', 'aura-sphere', 'seed-bomb', 'energy-ball', 'earth-power', 'giga-impact', 'nasty-plot', 'psycho-cut', 'zen-headbutt', 'trick-room', 'leaf-storm', 'stealth-rock', 'grass-knot', 'charge-beam', 'wonder-room', 'telekinesis', 'magic-room', 'round', 'echoed-voice', 'ally-switch', 'grassy-terrain', 'confide', 'dazzling-gleam', 'solar-blade', 'laser-focus', 'pollen-puff', 'psychic-terrain', 'life-dew', 'expanding-force', 'grassy-glide', 'dual-wingbeat']",104,100,100,100,100,100,100,psychic,grass
treecko,overgrow,unburden,,5,50,"['pound', 'mega-punch', 'thunder-punch', 'razor-wind', 'swords-dance', 'cut', 'slam', 'double-kick', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'low-kick', 'counter', 'seismic-toss', 'strength', 'absorb', 'mega-drain', 'leech-seed', 'solar-beam', 'dig', 'toxic', 'agility', 'quick-attack', 'mimic', 'screech', 'double-team', 'swift', 'flash', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'protect', 'mud-slap', 'detect', 'giga-drain', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'dragon-breath', 'pursuit', 'iron-tail', 'synthesis', 'hidden-power', 'sunny-day', 'crunch', 'rock-smash', 'facade', 'focus-punch', 'nature-power', 'helping-hand', 'brick-break', 'endeavor', 'secret-power', 'mud-sport', 'crush-claw', 'rock-tomb', 'grass-whistle', 'bullet-seed', 'aerial-ace', 'magical-leaf', 'natural-gift', 'assurance', 'fling', 'worry-seed', 'night-slash', 'seed-bomb', 'drain-punch', 'energy-ball', 'leaf-storm', 'captivate', 'grass-knot', 'round', 'quick-guard', 'acrobatics', 'grass-pledge', 'dragon-tail', 'work-up', 'grassy-terrain', 'confide', 'power-up-punch', 'leafage', 'breaking-swipe', 'grassy-glide', 'tera-blast', 'trailblaze', 'upper-hand']",98,40,45,35,65,55,70,grass,
grovyle,overgrow,unburden,,9,216,"['pound', 'mega-punch', 'thunder-punch', 'swords-dance', 'cut', 'slam', 'double-kick', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'low-kick', 'counter', 'seismic-toss', 'strength', 'absorb', 'mega-drain', 'leech-seed', 'solar-beam', 'dig', 'toxic', 'agility', 'quick-attack', 'mimic', 'screech', 'double-team', 'swift', 'flash', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'protect', 'mud-slap', 'detect', 'giga-drain', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'dragon-breath', 'pursuit', 'iron-tail', 'synthesis', 'hidden-power', 'sunny-day', 'crunch', 'rock-smash', 'facade', 'focus-punch', 'nature-power', 'helping-hand', 'brick-break', 'endeavor', 'secret-power', 'rock-tomb', 'bullet-seed', 'aerial-ace', 'magical-leaf', 'leaf-blade', 'natural-gift', 'assurance', 'fling', 'worry-seed', 'night-slash', 'seed-bomb', 'x-scissor', 'drain-punch', 'vacuum-wave', 'energy-ball', 'leaf-storm', 'captivate', 'grass-knot', 'low-sweep', 'round', 'quick-guard', 'acrobatics', 'grass-pledge', 'dragon-tail', 'work-up', 'grassy-terrain', 'confide', 'power-up-punch', 'solar-blade', 'leafage', 'breaking-swipe', 'grassy-glide', 'tera-blast', 'trailblaze', 'upper-hand']",100,50,65,45,85,65,95,grass,
sceptile,overgrow,unburden,,17,522,"['pound', 'mega-punch', 'thunder-punch', 'swords-dance', 'cut', 'slam', 'double-kick', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'roar', 'hyper-beam', 'low-kick', 'counter', 'seismic-toss', 'strength', 'absorb', 'mega-drain', 'leech-seed', 'solar-beam', 'earthquake', 'dig', 'toxic', 'agility', 'quick-attack', 'mimic', 'screech', 'double-team', 'swift', 'flash', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'protect', 'mud-slap', 'detect', 'outrage', 'giga-drain', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'dynamic-punch', 'dragon-breath', 'pursuit', 'iron-tail', 'synthesis', 'hidden-power', 'sunny-day', 'crunch', 'rock-smash', 'facade', 'focus-punch', 'nature-power', 'helping-hand', 'brick-break', 'endeavor', 'secret-power', 'rock-tomb', 'bullet-seed', 'aerial-ace', 'dragon-claw', 'frenzy-plant', 'magical-leaf', 'leaf-blade', 'dragon-dance', 'natural-gift', 'assurance', 'fling', 'worry-seed', 'night-slash', 'seed-bomb', 'x-scissor', 'dragon-pulse', 'drain-punch', 'vacuum-wave', 'focus-blast', 'energy-ball', 'giga-impact', 'rock-climb', 'leaf-storm', 'cross-poison', 'captivate', 'grass-knot', 'hone-claws', 'low-sweep', 'round', 'quick-guard', 'acrobatics', 'grass-pledge', 'bulldoze', 'dragon-tail', 'work-up', 'dual-chop', 'grassy-terrain', 'confide', 'power-up-punch', 'solar-blade', 'leafage', 'laser-focus', 'throat-chop', 'brutal-swing', 'breaking-swipe', 'scale-shot', 'grassy-glide', 'tera-blast', 'shed-tail', 'trailblaze', 'dragon-cheer', 'upper-hand']",121,70,85,65,105,85,120,grass,
torchic,blaze,speed-boost,,4,25,"['mega-punch', 'scratch', 'swords-dance', 'cut', 'mega-kick', 'sand-attack', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'growl', 'ember', 'flamethrower', 'peck', 'low-kick', 'counter', 'seismic-toss', 'strength', 'fire-spin', 'dig', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'focus-energy', 'mirror-move', 'fire-blast', 'swift', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'reversal', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'baton-pass', 'hidden-power', 'sunny-day', 'rock-smash', 'uproar', 'heat-wave', 'will-o-wisp', 'facade', 'smelling-salts', 'helping-hand', 'secret-power', 'feather-dance', 'crush-claw', 'overheat', 'rock-tomb', 'aerial-ace', 'bounce', 'natural-gift', 'feint', 'assurance', 'last-resort', 'flare-blitz', 'night-slash', 'shadow-claw', 'defog', 'captivate', 'hone-claws', 'flame-burst', 'flame-charge', 'round', 'echoed-voice', 'incinerate', 'fire-pledge', 'work-up', 'confide', 'tera-blast', 'temper-flare']",82,45,60,40,70,50,45,fire,
combusken,blaze,speed-boost,,9,195,"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'double-kick', 'mega-kick', 'sand-attack', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'growl', 'ember', 'flamethrower', 'peck', 'low-kick', 'counter', 'seismic-toss', 'strength', 'fire-spin', 'dig', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'focus-energy', 'mirror-move', 'fire-blast', 'swift', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'curse', 'reversal', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'baton-pass', 'hidden-power', 'sunny-day', 'rock-smash', 'uproar', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'helping-hand', 'revenge', 'brick-break', 'secret-power', 'feather-dance', 'blaze-kick', 'crush-claw', 'overheat', 'rock-tomb', 'sky-uppercut', 'aerial-ace', 'bulk-up', 'bounce', 'natural-gift', 'feint', 'close-combat', 'assurance', 'fling', 'last-resort', 'flare-blitz', 'poison-jab', 'night-slash', 'vacuum-wave', 'focus-blast', 'shadow-claw', 'defog', 'captivate', 'hone-claws', 'flame-charge', 'low-sweep', 'round', 'echoed-voice', 'incinerate', 'fire-pledge', 'work-up', 'dual-chop', 'confide', 'power-up-punch', 'coaching', 'tera-blast', 'temper-flare']",101,60,85,60,85,60,55,fire,fighting
blaziken,blaze,speed-boost,,19,520,"['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'double-kick', 'mega-kick', 'sand-attack', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'growl', 'roar', 'ember', 'flamethrower', 'hyper-beam', 'peck', 'low-kick', 'counter', 'seismic-toss', 'strength', 'solar-beam', 'fire-spin', 'earthquake', 'dig', 'toxic', 'agility', 'quick-attack', 'mimic', 'double-team', 'focus-energy', 'mirror-move', 'fire-blast', 'swift', 'high-jump-kick', 'rest', 'rock-slide', 'slash', 'substitute', 'thief', 'snore', 'curse', 'reversal', 'protect', 'mud-slap', 'detect', 'endure', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'baton-pass', 'hidden-power', 'sunny-day', 'rock-smash', 'uproar', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'helping-hand', 'role-play', 'superpower', 'revenge', 'brick-break', 'knock-off', 'secret-power', 'feather-dance', 'blaze-kick', 'crush-claw', 'blast-burn', 'overheat', 'rock-tomb', 'sky-uppercut', 'aerial-ace', 'bulk-up', 'bounce', 'natural-gift', 'feint', 'u-turn', 'close-combat', 'assurance', 'fling', 'last-resort', 'flare-blitz', 'aura-sphere', 'poison-jab', 'night-slash', 'vacuum-wave', 'focus-blast', 'brave-bird', 'giga-impact', 'shadow-claw', 'rock-climb', 'defog', 'stone-edge', 'captivate', 'hone-claws', 'flame-charge', 'low-sweep', 'round', 'echoed-voice', 'incinerate', 'acrobatics', 'fire-pledge', 'bulldoze', 'work-up', 'dual-chop', 'heat-crash', 'confide', 'power-up-punch', 'laser-focus', 'coaching', 'scorching-sands', 'tera-blast', 'temper-flare', 'upper-hand']",122,80,120,70,110,70,80,fire,fighting
mudkip,torrent,damp,,4,76,"['stomp', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'bite', 'growl', 'roar', 'supersonic', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'low-kick', 'counter', 'strength', 'rock-throw', 'dig', 'toxic', 'mimic', 'screech', 'double-team', 'defense-curl', 'barrier', 'bide', 'sludge', 'waterfall', 'amnesia', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'protect', 'mud-slap', 'foresight', 'icy-wind', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'mirror-coat', 'ancient-power', 'rock-smash', 'whirlpool', 'uproar', 'hail', 'facade', 'superpower', 'yawn', 'endeavor', 'refresh', 'secret-power', 'dive', 'mud-sport', 'ice-ball', 'rock-tomb', 'muddy-water', 'mud-shot', 'water-pulse', 'natural-gift', 'aqua-tail', 'earth-power', 'avalanche', 'mud-bomb', 'captivate', 'wide-guard', 'sludge-wave', 'round', 'echoed-voice', 'scald', 'water-pledge', 'work-up', 'confide', 'liquidation', 'tera-blast', 'chilling-water']",85,50,70,50,50,50,40,water,
marshtomp,torrent,damp,,7,280,"['mega-punch', 'ice-punch', 'stomp', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'bite', 'growl', 'roar', 'supersonic', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'low-kick', 'counter', 'seismic-toss', 'strength', 'rock-throw', 'earthquake', 'dig', 'toxic', 'mimic', 'screech', 'double-team', 'defense-curl', 'bide', 'sludge', 'waterfall', 'amnesia', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'protect', 'mud-slap', 'foresight', 'icy-wind', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'iron-tail', 'hidden-power', 'rain-dance', 'mirror-coat', 'ancient-power', 'rock-smash', 'whirlpool', 'uproar', 'hail', 'facade', 'focus-punch', 'helping-hand', 'superpower', 'brick-break', 'yawn', 'endeavor', 'secret-power', 'dive', 'mud-sport', 'rock-tomb', 'sand-tomb', 'muddy-water', 'mud-shot', 'water-pulse', 'natural-gift', 'fling', 'aqua-tail', 'earth-power', 'avalanche', 'mud-bomb', 'captivate', 'stealth-rock', 'wide-guard', 'sludge-wave', 'round', 'echoed-voice', 'scald', 'water-pledge', 'bulldoze', 'work-up', 'confide', 'power-up-punch', 'liquidation', 'tera-blast', 'chilling-water']",96,70,85,70,60,70,50,water,ground
swampert,torrent,damp,,15,819,"['mega-punch', 'ice-punch', 'stomp', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'bite', 'growl', 'roar', 'supersonic', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'low-kick', 'counter', 'seismic-toss', 'strength', 'rock-throw', 'earthquake', 'dig', 'toxic', 'mimic', 'screech', 'double-team', 'defense-curl', 'bide', 'sludge', 'waterfall', 'amnesia', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'protect', 'scary-face', 'mud-slap', 'foresight', 'icy-wind', 'outrage', 'endure', 'rollout', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'iron-tail', 'hidden-power', 'rain-dance', 'mirror-coat', 'ancient-power', 'rock-smash', 'whirlpool', 'uproar', 'hail', 'facade', 'focus-punch', 'helping-hand', 'superpower', 'brick-break', 'yawn', 'knock-off', 'endeavor', 'secret-power', 'dive', 'mud-sport', 'hydro-cannon', 'weather-ball', 'rock-tomb', 'sand-tomb', 'muddy-water', 'bulk-up', 'mud-shot', 'water-pulse', 'hammer-arm', 'natural-gift', 'fling', 'poison-jab', 'aqua-tail', 'focus-blast', 'earth-power', 'giga-impact', 'avalanche', 'mud-bomb', 'rock-climb', 'stone-edge', 'captivate', 'stealth-rock', 'wide-guard', 'smack-down', 'sludge-wave', 'round', 'echoed-voice', 'scald', 'water-pledge', 'bulldoze', 'work-up', 'confide', 'power-up-punch', 'darkest-lariat', 'high-horsepower', 'stomping-tantrum', 'liquidation', 'body-press', 'flip-turn', 'tera-blast', 'chilling-water', 'hard-press']",116,100,110,90,85,90,60,water,ground
poochyena,run-away,quick-feet,rattled,5,136,"['sand-attack', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'leer', 'bite', 'roar', 'counter', 'dig', 'toxic', 'mimic', 'double-team', 'rest', 'super-fang', 'substitute', 'thief', 'snore', 'spite', 'protect', 'scary-face', 'mud-slap', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'psych-up', 'shadow-ball', 'rock-smash', 'uproar', 'torment', 'facade', 'taunt', 'helping-hand', 'yawn', 'endeavor', 'snatch', 'secret-power', 'hyper-voice', 'poison-fang', 'astonish', 'odor-sleuth', 'howl', 'covet', 'natural-gift', 'payback', 'assurance', 'embargo', 'me-first', 'sucker-punch', 'dark-pulse', 'nasty-plot', 'thunder-fang', 'ice-fang', 'fire-fang', 'captivate', 'foul-play', 'round', 'incinerate', 'retaliate', 'snarl', 'play-rough', 'confide', 'psychic-fangs', 'lash-out', 'tera-blast', 'trailblaze']",76,35,55,35,30,30,35,dark,
mightyena,intimidate,quick-feet,moxie,10,370,"['sand-attack', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'leer', 'bite', 'roar', 'hyper-beam', 'counter', 'strength', 'dig', 'toxic', 'mimic', 'double-team', 'rest', 'super-fang', 'substitute', 'thief', 'snore', 'spite', 'protect', 'scary-face', 'mud-slap', 'endure', 'charm', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'psych-up', 'shadow-ball', 'rock-smash', 'uproar', 'torment', 'facade', 'taunt', 'helping-hand', 'yawn', 'endeavor', 'snatch', 'secret-power', 'hyper-voice', 'poison-fang', 'astonish', 'odor-sleuth', 'howl', 'covet', 'natural-gift', 'payback', 'assurance', 'embargo', 'sucker-punch', 'dark-pulse', 'giga-impact', 'nasty-plot', 'thunder-fang', 'ice-fang', 'fire-fang', 'captivate', 'foul-play', 'round', 'incinerate', 'retaliate', 'snarl', 'play-rough', 'confide', 'laser-focus', 'throat-chop', 'psychic-fangs', 'lash-out', 'tera-blast', 'trailblaze']",80,70,90,70,60,60,70,dark,
zigzagoon,pickup,gluttony,quick-feet,4,175,"['cut', 'sand-attack', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'pin-missile', 'growl', 'surf', 'ice-beam', 'blizzard', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'mimic', 'double-team', 'defense-curl', 'swift', 'rest', 'super-fang', 'substitute', 'thief', 'snore', 'flail', 'protect', 'belly-drum', 'mud-slap', 'icy-wind', 'endure', 'charm', 'rollout', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'extreme-speed', 'shadow-ball', 'rock-smash', 'whirlpool', 'facade', 'helping-hand', 'trick', 'secret-power', 'mud-sport', 'hyper-voice', 'odor-sleuth', 'tickle', 'mud-shot', 'covet', 'shock-wave', 'water-pulse', 'natural-gift', 'fling', 'last-resort', 'seed-bomb', 'rock-climb', 'gunk-shot', 'captivate', 'grass-knot', 'charge-beam', 'hone-claws', 'simple-beam', 'round', 'echoed-voice', 'retaliate', 'bestow', 'work-up', 'tail-slap', 'confide', 'baby-doll-eyes']",81,38,30,41,30,41,60,normal,
linoone,pickup,gluttony,quick-feet,5,325,"['cut', 'sand-attack', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'pin-missile', 'growl', 'roar', 'surf', 'ice-beam', 'blizzard', 'hyper-beam', 'strength', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'mimic', 'double-team', 'defense-curl', 'swift', 'fury-swipes', 'rest', 'super-fang', 'slash', 'substitute', 'thief', 'snore', 'flail', 'protect', 'belly-drum', 'mud-slap', 'icy-wind', 'endure', 'charm', 'rollout', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'shadow-ball', 'rock-smash', 'whirlpool', 'facade', 'helping-hand', 'trick', 'secret-power', 'mud-sport', 'hyper-voice', 'odor-sleuth', 'mud-shot', 'covet', 'shock-wave', 'water-pulse', 'natural-gift', 'fling', 'last-resort', 'seed-bomb', 'switcheroo', 'giga-impact', 'shadow-claw', 'gunk-shot', 'captivate', 'grass-knot', 'charge-beam', 'hone-claws', 'round', 'echoed-voice', 'retaliate', 'bestow', 'work-up', 'tail-slap', 'rototiller', 'play-rough', 'confide', 'baby-doll-eyes', 'throat-chop', 'stomping-tantrum']",88,78,70,61,50,61,100,normal,
wurmple,shield-dust,run-away,,3,36,"['tackle', 'poison-sting', 'string-shot', 'snore', 'bug-bite', 'electroweb']",6,45,45,35,20,30,20,bug,
silcoon,shed-skin,,,6,100,"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']",5,50,35,55,25,25,15,bug,
beautifly,swarm,rivalry,,10,284,"['gust', 'whirlwind', 'tackle', 'double-edge', 'poison-sting', 'hyper-beam', 'absorb', 'mega-drain', 'solar-beam', 'stun-spore', 'string-shot', 'toxic', 'psychic', 'rage', 'mimic', 'double-team', 'harden', 'swift', 'leech-life', 'flash', 'rest', 'substitute', 'thief', 'snore', 'protect', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'morning-sun', 'hidden-power', 'twister', 'sunny-day', 'shadow-ball', 'facade', 'secret-power', 'air-cutter', 'silver-wind', 'signal-beam', 'aerial-ace', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'bug-buzz', 'energy-ball', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'venoshock', 'quiver-dance', 'round', 'acrobatics', 'struggle-bug', 'electroweb', 'confide', 'infestation', 'laser-focus']",64,60,70,50,100,50,65,bug,flying
cascoon,shed-skin,,,7,115,"['string-shot', 'harden', 'iron-defense', 'bug-bite', 'electroweb']",5,50,35,55,25,25,15,bug,
dustox,shield-dust,compound-eyes,,12,316,"['gust', 'whirlwind', 'tackle', 'double-edge', 'poison-sting', 'psybeam', 'hyper-beam', 'solar-beam', 'poison-powder', 'string-shot', 'toxic', 'confusion', 'psychic', 'mimic', 'double-team', 'harden', 'light-screen', 'swift', 'leech-life', 'flash', 'rest', 'substitute', 'thief', 'snore', 'protect', 'sludge-bomb', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'moonlight', 'hidden-power', 'twister', 'sunny-day', 'shadow-ball', 'facade', 'secret-power', 'air-cutter', 'silver-wind', 'signal-beam', 'aerial-ace', 'roost', 'natural-gift', 'tailwind', 'u-turn', 'bug-buzz', 'energy-ball', 'giga-impact', 'defog', 'captivate', 'bug-bite', 'ominous-wind', 'venoshock', 'quiver-dance', 'round', 'acrobatics', 'struggle-bug', 'electroweb', 'confide', 'infestation', 'laser-focus']",64,60,50,70,50,90,65,bug,poison
