Pokemon,Item,Ability,Tera Type,Move 1,Move 2,Move 3,Move 4,Rank,Wins,Losses,Tournament
Roaring Moon ,Booster Energy  ,Protosynthesis  ,Flying  , Acrobatics  , Uturn  , Tailwind  , Breaking Swipe  ,78,6,3,Latin America International
IndeedeeF ,Safety Goggles  ,Psychic Surge  ,Fairy  , Trick Room  , Dazzling Gleam  , Helping Hand  , Follow Me  ,78,6,3,Latin America International
UrshifuRapidStrike ,Choice Scarf  ,Unseen Fist  ,Water  , Aqua Jet  , Close Combat  , Uturn  , Surging Strikes  ,78,6,3,Latin America International
Flutter Mane ,Choice Specs  ,Protosynthesis  ,Fairy  , Thunderbolt  , Dazzling Gleam  , Shadow Ball  , Moonblast  ,78,6,3,Latin America International
ChiYu ,Room Service  ,Beads of Ruin  ,Fire  , Flamethrower  , Dark Pulse  , Burning Jealousy  , Taunt  ,79,6,3,Latin America International
Gallade ,Scope Lens  ,Sharpness  ,Fire  , Sacred Sword  , Psycho Cut  , Wide Guard  , Trick Room  ,79,6,3,Latin America International
IndeedeeF ,Rocky Helmet  ,Psychic Surge  ,Water  , Psychic  , Follow Me  , Skill Swap  , Trick Room  ,79,6,3,Latin America International
LandorusTherian ,Assault Vest  ,Intimidate  ,Fairy  , Stomping Tantrum  , Stone Edge  , Uturn  , Tera Blast  ,79,6,3,Latin America International
Torkoal ,Charcoal  ,Drought  ,Grass  , Eruption  , Heat Wave  , Solar Beam  , Clear Smog  ,79,6,3,Latin America International
ArticunoGalar ,Safety Goggles  ,Competitive  ,Poison  , Psyshock  , Shadow Ball  , Tera Blast  , Trick Room  ,79,6,3,Latin America International
moon healing (Roaring Moon) ,Booster Energy  ,Protosynthesis  ,Flying  , Protect  , Acrobatics  , Knock Off  , Dragon Dance  ,80,6,3,Latin America International
rapha (Rillaboom) ,Assault Vest  ,Grassy Surge  ,Fire  , Grassy Glide  , High Horsepower  , Wood Hammer  , Fake Out  ,80,6,3,Latin America International
Alan (UrshifuRapidStrike) ,Mystic Water  ,Unseen Fist  ,Water  , Surging Strikes  , Close Combat  , Aqua Jet  , Detect  ,80,6,3,Latin America International
isapapa (Tornadus) ,Rocky Helmet  ,Prankster  ,Ghost  , Tailwind  , Bleakwind Storm  , Taunt  , Scary Face  ,80,6,3,Latin America International
raquel (ArcanineHisui) ,Choice Band  ,Intimidate  ,Fairy  , Extreme Speed  , Rock Slide  , Flare Blitz  , Tera Blast  ,80,6,3,Latin America International
isapellegrin (Gholdengo) ,Choice Specs  ,Good as Gold  ,Steel  , Psyshock  , Make It Rain  , Shadow Ball  , Thunderbolt  ,80,6,3,Latin America International
Landorus (LandorusTherian) ,Choice Scarf  ,Intimidate  ,Flying  , Rock Slide  , Stomping Tantrum  , Tera Blast  , Uturn  ,81,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Fire  , Drain Punch  , Fake Out  , Heavy Slam  , Wild Charge  ,81,6,3,Latin America International
Roaning Moon (Roaring Moon) ,Booster Energy  ,Protosynthesis  ,Poison  , Acrobatics  , Protect  , Tailwind  , Knock Off  ,81,6,3,Latin America International
Heatran ,Leftovers  ,Flash Fire  ,Grass  , Earth Power  , Flash Cannon  , Heat Wave  , Protect  ,81,6,3,Latin America International
Flutter Mane ,Choice Specs  ,Protosynthesis  ,Fairy  , Dazzling Gleam  , Shadow Ball  , Trick Room  , Moonblast  ,81,6,3,Latin America International
Ninetales (NinetalesAlola) ,Light Clay  ,Snow Warning  ,Ghost  , Aurora Veil  , Blizzard  , Icy Wind  , Protect  ,81,6,3,Latin America International
Dondozo ,Leftovers  ,Unaware  ,Dragon  , Protect  , Earthquake  , Substitute  , Order Up  ,82,6,3,Latin America International
Glimmora ,Focus Sash  ,Toxic Debris  ,Grass  , Mortal Spin  , Power Gem  , Sludge Bomb  , Spiky Shield  ,82,6,3,Latin America International
Tatsugiri ,Ability Shield  ,Commander  ,Steel  , Muddy Water  , Taunt  , Draco Meteor  , Protect  ,82,6,3,Latin America International
Ogerpon (OgerponHearthflame) ,Hearthflame Mask  ,Mold Breaker  ,Fire  , Ivy Cudgel  , Horn Leech  , Quick Attack  , Spiky Shield  ,82,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Fire  , Fake Out  , Heavy Slam  , Drain Punch  , Wild Charge  ,82,6,3,Latin America International
NinetalesAlola ,Light Clay  ,Snow Warning  ,Water  , Aurora Veil  , Blizzard  , Protect  , Encore  ,82,6,3,Latin America International
Chien Pao (ChienPao) ,Focus Sash  ,Sword of Ruin  ,Ghost  , Ice Spinner  , Protect  , Sucker Punch  , Sacred Sword  ,83,6,3,Latin America International
Flutter Mane ,Booster Energy  ,Protosynthesis  ,Water  , Dazzling Gleam  , Shadow Ball  , Moonblast  , Protect  ,83,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Water  , Wild Charge  , Drain Punch  , Heavy Slam  , Fake Out  ,83,6,3,Latin America International
Landorus (LandorusTherian) ,Choice Scarf  ,Intimidate  ,Flying  , Tera Blast  , Stomping Tantrum  , Rock Slide  , Uturn  ,83,6,3,Latin America International
Urshifu (UrshifuRapidStrike) ,Mystic Water  ,Unseen Fist  ,Water  , Surging Strikes  , Detect  , Close Combat  , Aqua Jet  ,83,6,3,Latin America International
Tornadus ,Covert Cloak  ,Prankster  ,Ghost  , Tailwind  , Bleakwind Storm  , Taunt  , Rain Dance  ,83,6,3,Latin America International
ArcanineHisui ,Choice Band  ,Intimidate  ,Normal  , Flare Blitz  , Rock Slide  , Extreme Speed  , Psychic Fangs  ,84,6,3,Latin America International
UrshifuRapidStrike ,Choice Scarf  ,Unseen Fist  ,Water  , Surging Strikes  , Close Combat  , Aqua Jet  , Uturn  ,84,6,3,Latin America International
Rillaboom ,Assault Vest  ,Grassy Surge  ,Fire  , Grassy Glide  , Fake Out  , Uturn  , High Horsepower  ,84,6,3,Latin America International
ChienPao ,Focus Sash  ,Sword of Ruin  ,Ghost  , Icicle Crash  , Sucker Punch  , Protect  , Haze  ,84,6,3,Latin America International
OgerponHearthflame ,Hearthflame Mask  ,Mold Breaker  ,Fire  , Ivy Cudgel  , Spiky Shield  , Stomping Tantrum  , Grassy Glide  ,84,6,3,Latin America International
Sylveon ,Choice Specs  ,Pixilate  ,Water  , Hyper Voice  , Tera Blast  , Hyper Beam  , Psychic  ,84,6,3,Latin America International
Sven (LandorusTherian) ,Choice Scarf  ,Intimidate  ,Flying  , Stomping Tantrum  , Tera Blast  , Uturn  , Rock Slide  ,85,6,3,Latin America International
Pasder (Roaring Moon) ,Booster Energy  ,Protosynthesis  ,Poison  , Breaking Swipe  , Knock Off  , Tailwind  , Protect  ,85,6,3,Latin America International
Izzy (OgerponWellspring) ,Wellspring Mask  ,Water Absorb  ,Water  , Ivy Cudgel  , Swords Dance  , Horn Leech  , Follow Me  ,85,6,3,Latin America International
PocoHana (Heatran) ,Leftovers  ,Flash Fire  ,Grass  , Magma Storm  , Substitute  , Earth Power  , Protect  ,85,6,3,Latin America International
Dandy (Flutter Mane) ,Choice Specs  ,Protosynthesis  ,Fairy  , Moonblast  , Dazzling Gleam  , Shadow Ball  , Misty Terrain  ,85,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Fire  , Fake Out  , Heavy Slam  , Wild Charge  , Drain Punch  ,85,6,3,Latin America International
Amoonguss ,Rocky Helmet  ,Regenerator  ,Water  , Clear Smog  , Rage Powder  , Pollen Puff  , Spore  ,86,6,3,Latin America International
ArcanineHisui ,Choice Band  ,Intimidate  ,Water  , Flare Blitz  , Rock Slide  , Extreme Speed  , Tera Blast  ,86,6,3,Latin America International
Farigiraf ,Ability Shield  ,Armor Tail  ,Fairy  , Psychic  , Dazzling Gleam  , Trick Room  , Nasty Plot  ,86,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Fairy  , Fake Out  , Wild Charge  , Drain Punch  , Heavy Slam  ,86,6,3,Latin America International
NinetalesAlola ,Light Clay  ,Snow Warning  ,Water  , Moonblast  , Icy Wind  , Aurora Veil  , Protect  ,86,6,3,Latin America International
MoltresGalar ,Sitrus Berry  ,Berserk  ,Poison  , Fiery Wrath  , Hurricane  , Nasty Plot  , Protect  ,86,6,3,Latin America International
ArcanineHisui ,Sitrus Berry  ,Intimidate  ,Normal  , Flare Blitz  , Extreme Speed  , Rock Slide  , WillOWisp  ,87,6,3,Latin America International
Gholdengo ,Metal Coat  ,Good as Gold  ,Dragon  , Make It Rain  , Shadow Ball  , Nasty Plot  , Protect  ,87,6,3,Latin America International
UrshifuRapidStrike ,Choice Scarf  ,Unseen Fist  ,Steel  , Surging Strikes  , Close Combat  , Aqua Jet  , Uturn  ,87,6,3,Latin America International
Tornadus ,Mental Herb  ,Prankster  ,Ghost  , Bleakwind Storm  , Rain Dance  , Tailwind  , Taunt  ,87,6,3,Latin America International
Rillaboom ,Assault Vest  ,Grassy Surge  ,Grass  , Fake Out  , Wood Hammer  , Knock Off  , Grassy Glide  ,87,6,3,Latin America International
Regidrago ,Dragon Fang  ,Dragon's Maw  ,Steel  , Dragon Energy  , Draco Meteor  , Earth Power  , Protect  ,87,6,3,Latin America International
OgerponWellspring ,Wellspring Mask  ,Water Absorb  ,Water  , Ivy Cudgel  , Spiky Shield  , Follow Me  , Horn Leech  ,88,6,3,Latin America International
Roaring Moon ,Booster Energy  ,Protosynthesis  ,Poison  , Tailwind  , Protect  , Knock Off  , Breaking Swipe  ,88,6,3,Latin America International
Flutter Mane ,Choice Specs  ,Protosynthesis  ,Fairy  , Dazzling Gleam  , Shadow Ball  , Moonblast  , Perish Song  ,88,6,3,Latin America International
Heatran ,Leftovers  ,Flash Fire  ,Fairy  , Earth Power  , Substitute  , Heat Wave  , Protect  ,88,6,3,Latin America International
LandorusTherian ,Choice Scarf  ,Intimidate  ,Flying  , Uturn  , Rock Slide  , Tera Blast  , Stomping Tantrum  ,88,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Water  , Fake Out  , Drain Punch  , Heavy Slam  , Wild Charge  ,88,6,3,Latin America International
Salad Fork (Salamence) ,Rocky Helmet  ,Intimidate  ,Poison  , Air Slash  , Roost  , Tailwind  , Draco Meteor  ,89,6,3,Latin America International
Rilla Roo (Rillaboom) ,Assault Vest  ,Grassy Surge  ,Fire  , Grassy Glide  , High Horsepower  , Wood Hammer  , Fake Out  ,89,6,3,Latin America International
Heatran ,Safety Goggles  ,Flash Fire  ,Fairy  , Earth Power  , Magma Storm  , Flash Cannon  , Protect  ,89,6,3,Latin America International
Urshifu ,Focus Sash  ,Unseen Fist  ,Dark  , Wicked Blow  , Close Combat  , Sucker Punch  , Protect  ,89,6,3,Latin America International
Dondozo ,Leftovers  ,Oblivious  ,Grass  , Wave Crash  , Heavy Slam  , Yawn  , Protect  ,89,6,3,Latin America International
Flutter Mane ,Choice Specs  ,Protosynthesis  ,Fairy  , Dazzling Gleam  , Shadow Ball  , Moonblast  , Power Gem  ,89,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Water  , Fake Out  , Drain Punch  , Wild Charge  , Heavy Slam  ,90,6,3,Latin America International
LandorusTherian ,Choice Scarf  ,Intimidate  ,Flying  , Uturn  , Stomping Tantrum  , Rock Slide  , Tera Blast  ,90,6,3,Latin America International
Flutter Mane ,Choice Specs  ,Protosynthesis  ,Fairy  , Moonblast  , Shadow Ball  , Dazzling Gleam  , Perish Song  ,90,6,3,Latin America International
OgerponWellspring ,Wellspring Mask  ,Water Absorb  ,Water  , Spiky Shield  , Ivy Cudgel  , Horn Leech  , Swords Dance  ,90,6,3,Latin America International
Roaring Moon ,Booster Energy  ,Protosynthesis  ,Flying  , Protect  , Tailwind  , Knock Off  , Acrobatics  ,90,6,3,Latin America International
Heatran ,Shuca Berry  ,Flash Fire  ,Grass  , Heat Wave  , Earth Power  , Flash Cannon  , Protect  ,90,6,3,Latin America International
Ogerbonk (OgerponWellspring) ,Wellspring Mask  ,Water Absorb  ,Water  , Ivy Cudgel  , Horn Leech  , Follow Me  , Spiky Shield  ,91,6,3,Latin America International
Dodo (Iron Hands) ,Assault Vest  ,Quark Drive  ,Water  , Drain Punch  , Wild Charge  , Volt Switch  , Fake Out  ,91,6,3,Latin America International
Mesquo (Flutter Mane) ,Choice Specs  ,Protosynthesis  ,Fairy  , Moonblast  , Dazzling Gleam  , Shadow Ball  , Misty Terrain  ,91,6,3,Latin America International
Diego (ChienPao) ,Focus Sash  ,Sword of Ruin  ,Ghost  , Ice Spinner  , Sucker Punch  , Haze  , Protect  ,91,6,3,Latin America International
Heatran ,Leftovers  ,Flash Fire  ,Fairy  , Magma Storm  , Flash Cannon  , Earth Power  , Protect  ,91,6,3,Latin America International
Gerbi (LandorusTherian) ,Choice Scarf  ,Intimidate  ,Flying  , Stomping Tantrum  , Tera Blast  , Rock Tomb  , Uturn  ,91,6,3,Latin America International
FábioFazbear (UrsalunaBloodmoon) ,Weakness Policy  ,Mind’s Eye  ,Normal  , Blood Moon  , Hyper Voice  , Earth Power  , Protect  ,92,6,3,Latin America International
ChienPao ,Focus Sash  ,Sword of Ruin  ,Ghost  , Icicle Crash  , Sucker Punch  , Lash Out  , Protect  ,92,6,3,Latin America International
Dragonite ,Choice Band  ,Inner Focus  ,Normal  , Outrage  , Extreme Speed  , Iron Head  , Stomping Tantrum  ,92,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Fire  , Wild Charge  , Drain Punch  , Fake Out  , Volt Switch  ,92,6,3,Latin America International
Dusclops ,Eviolite  ,Pressure  ,Dark  , Brick Break  , Pain Split  , Trick Room  , WillOWisp  ,92,6,3,Latin America International
OgerponWellspring ,Wellspring Mask  ,Water Absorb  ,Water  , Ivy Cudgel  , Horn Leech  , Follow Me  , Spiky Shield  ,92,6,3,Latin America International
Ursodo (UrshifuRapidStrike) ,Mystic Water  ,Unseen Fist  ,Water  , Surging Strikes  , Close Combat  , Aqua Jet  , Detect  ,93,6,3,Latin America International
Bananeira (Gholdengo) ,Leftovers  ,Good as Gold  ,Dragon  , Make It Rain  , Shadow Ball  , Nasty Plot  , Protect  ,93,6,3,Latin America International
Rajado (ArcanineHisui) ,Safety Goggles  ,Intimidate  ,Dragon  , Flare Blitz  , Rock Slide  , WillOWisp  , Protect  ,93,6,3,Latin America International
Estrela (Clefairy) ,Eviolite  ,Friend Guard  ,Water  , Icy Wind  , Follow Me  , Helping Hand  , Protect  ,93,6,3,Latin America International
Maskueeikooo (Rillaboom) ,Assault Vest  ,Grassy Surge  ,Fire  , Wood Hammer  , Grassy Glide  , High Horsepower  , Fake Out  ,93,6,3,Latin America International
TsukiGaKirei (Roaring Moon) ,Booster Energy  ,Protosynthesis  ,Poison  , Knock Off  , Breaking Swipe  , Tailwind  , Protect  ,93,6,3,Latin America International
Rillaboom ,Assault Vest  ,Grassy Surge  ,Fire  , Grassy Glide  , Wood Hammer  , Uturn  , Fake Out  ,94,6,3,Latin America International
Flutter Mane ,Booster Energy  ,Protosynthesis  ,Fairy  , Moonblast  , Shadow Ball  , Dazzling Gleam  , Protect  ,94,6,3,Latin America International
Tornadus ,Rocky Helmet  ,Prankster  ,Ghost  , Bleakwind Storm  , Rain Dance  , Taunt  , Tailwind  ,94,6,3,Latin America International
ArcanineHisui ,Choice Band  ,Intimidate  ,Normal  , Rock Slide  , Flare Blitz  , Extreme Speed  , Head Smash  ,94,6,3,Latin America International
UrshifuRapidStrike ,Mystic Water  ,Unseen Fist  ,Water  , Surging Strikes  , Close Combat  , Aqua Jet  , Detect  ,94,6,3,Latin America International
ChienPao ,Focus Sash  ,Sword of Ruin  ,Ghost  , Sucker Punch  , Icicle Crash  , Sacred Sword  , Protect  ,94,6,3,Latin America International
Weezing ,Sitrus Berry  ,Neutralizing Gas  ,Ghost  , Sludge Bomb  , Taunt  , WillOWisp  , Protect  ,95,6,3,Latin America International
Flutter Mane ,Choice Specs  ,Protosynthesis  ,Fairy  , Dazzling Gleam  , Shadow Ball  , Moonblast  , Thunderbolt  ,95,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Water  , Drain Punch  , Wild Charge  , Heavy Slam  , Fake Out  ,95,6,3,Latin America International
OgerponWellspring ,Wellspring Mask  ,Water Absorb  ,Water  , Ivy Cudgel  , Horn Leech  , Swords Dance  , Spiky Shield  ,95,6,3,Latin America International
LandorusTherian ,Choice Scarf  ,Intimidate  ,Flying  , Rock Slide  , Stomping Tantrum  , Uturn  , Tera Blast  ,95,6,3,Latin America International
Roaring Moon ,Booster Energy  ,Protosynthesis  ,Flying  , Knock Off  , Acrobatics  , Tailwind  , Protect  ,95,6,3,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Water  , Wild Charge  , Drain Punch  , Fake Out  , Heavy Slam  ,96,6,3,Latin America International
Glimmora ,Focus Sash  ,Toxic Debris  ,Grass  , Power Gem  , Sludge Bomb  , Mortal Spin  , Spiky Shield  ,96,6,3,Latin America International
ChiYu ,Choice Specs  ,Beads of Ruin  ,Fire  , Dark Pulse  , Overheat  , Heat Wave  , Snarl  ,96,6,3,Latin America International
NinetalesAlola ,Light Clay  ,Snow Warning  ,Water  , Blizzard  , Protect  , Aurora Veil  , Moonblast  ,96,6,3,Latin America International
Dondozo ,Leftovers  ,Unaware  ,Dragon  , Order Up  , Protect  , Wave Crash  , Earthquake  ,96,6,3,Latin America International
TatsugiriStretchy ,Choice Scarf  ,Commander  ,Steel  , Dragon Pulse  , Icy Wind  , Draco Meteor  , Muddy Water  ,96,6,3,Latin America International
Wosblopper (Iron Hands) ,Assault Vest  ,Quark Drive  ,Fire  , Drain Punch  , Wild Charge  , Heavy Slam  , Fake Out  ,97,5,4,Latin America International
Dankiedis (Iron Bundle) ,Booster Energy  ,Quark Drive  ,Fire  , FreezeDry  , Hydro Pump  , Icy Wind  , Protect  ,97,5,4,Latin America International
Sukiki (ChiYu) ,Choice Specs  ,Beads of Ruin  ,Ghost  , Overheat  , Dark Pulse  , Heat Wave  , Snarl  ,97,5,4,Latin America International
GanozaB (Farigiraf) ,Safety Goggles  ,Armor Tail  ,Fairy  , Psychic  , Helping Hand  , Trick Room  , Dazzling Gleam  ,97,5,4,Latin America International
Soft Paws (UrshifuRapidStrike) ,Choice Scarf  ,Unseen Fist  ,Water  , Surging Strikes  , Close Combat  , Uturn  , Aqua Jet  ,97,5,4,Latin America International
Cosanostra (Amoonguss) ,Covert Cloak  ,Regenerator  ,Fire  , Pollen Puff  , Spore  , Rage Powder  , Sludge Bomb  ,97,5,4,Latin America International
Amoonguss ,Sitrus Berry  ,Regenerator  ,Water  , Spore  , Pollen Puff  , Rage Powder  , Protect  ,98,5,4,Latin America International
Iron Hands ,Assault Vest  ,Quark Drive  ,Water  , Wild Charge  , Drain Punch  , Heavy Slam  , Fake Out  ,98,5,4,Latin America International
Tornadus ,Rocky Helmet  ,Prankster  ,Ghost  , Bleakwind Storm  , Tailwind  , Taunt  , Rain Dance  ,98,5,4,Latin America International
ArcanineHisui ,Choice Band  ,Intimidate  ,Fairy  , Flare Blitz  , Rock Slide  , Extreme Speed  , Tera Blast  ,98,5,4,Latin America International
UrshifuRapidStrike ,Choice Scarf  ,Unseen Fist  ,Water  , Surging Strikes  , Close Combat  , Ice Spinner  , Uturn  ,98,5,4,Latin America International
Gholdengo ,Leftovers  ,Good as Gold  ,Dragon  , Make It Rain  , Shadow Ball  , Nasty Plot  , Protect  ,98,5,4,Latin America International
Oranguru ,Sitrus Berry  ,Inner Focus  ,Fire  , Trick Room  , Knock Off  , Instruct  , Encore  ,99,5,4,Latin America International
Flutter Mane ,Focus Sash  ,Protosynthesis  ,Ghost  , Dazzling Gleam  , Protect  , Misty Terrain  , Shadow Ball  ,99,5,4,Latin America International
UrsalunaBloodmoon ,Throat Spray  ,Mind’s Eye  ,Normal  , Blood Moon  , Earth Power  , Hyper Voice  , Protect  ,99,5,4,Latin America International
Farigiraf ,Rocky Helmet  ,Armor Tail  ,Water  , Protect  , Hyper Voice  , Trick Room  , Psychic  ,99,5,4,Latin America International
OgerponHearthflame ,Hearthflame Mask  ,Mold Breaker  ,Fire  , Wood Hammer  , Ivy Cudgel  , Spiky Shield  , Follow Me  ,99,5,4,Latin America International
Iron Bundle ,Booster Energy  ,Quark Drive  ,Ghost  , Hydro Pump  , Protect  , FreezeDry  , Icy Wind  ,99,5,4,Latin America International
Heatran ,Assault Vest  ,Flash Fire  ,Grass  , Tera Blast  , Earth Power  , Heat Wave  , Heavy Slam  ,100,5,4,Latin America International
Amoonguss ,Sitrus Berry  ,Regenerator  ,Fire  , Protect  , Pollen Puff  , Rage Powder  , Spore  ,100,5,4,Latin America International
Handerson (Iron Hands) ,Leftovers  ,Quark Drive  ,Grass  , Wild Charge  , Drain Punch  , Fake Out  , Swords Dance  ,100,5,4,Latin America International
Cresselia ,Mental Herb  ,Levitate  ,Fire  , Ice Beam  , Psychic  , Trick Room  , Lunar Blessing  ,100,5,4,Latin America International
LandorusTherian ,Choice Scarf  ,Intimidate  ,Flying  , Rock Slide  , Stomping Tantrum  , Tera Blast  , Uturn  ,100,5,4,Latin America International
Flutter Mane ,Focus Sash  ,Protosynthesis  ,Fairy  , Dazzling Gleam  , Protect  , Shadow Ball  , Taunt  ,100,5,4,Latin America International
Armarouge ,Life Orb  ,Flash Fire  ,Grass  , Expanding Force  , Heat Wave  , Protect  , Trick Room  ,101,5,4,Latin America International
Torkoal ,Charcoal  ,Drought  ,Fire  , Eruption  , Earth Power  , Heat Wave  , Protect  ,101,5,4,Latin America International
Annihilape ,Choice Scarf  ,Defiant  ,Ghost  , Final Gambit  , Shadow Claw  , Close Combat  , Taunt  ,101,5,4,Latin America International
Ursaluna ,Flame Orb  ,Guts  ,Poison  , Headlong Rush  , Facade  , Shadow Claw  , Protect  ,101,5,4,Latin America International
IndeedeeF ,Psychic Seed  ,Psychic Surge  ,Fairy  , Follow Me  , Dazzling Gleam  , Helping Hand  , Trick Room  ,101,5,4,Latin America International
Sylveon ,Throat Spray  ,Pixilate  ,Water  , Hyper Voice  , Tera Blast  , Hyper Beam  , Protect  ,101,5,4,Latin America International
LandorusTherian ,Assault Vest  ,Intimidate  ,Water  , Earthquake  , Stomping Tantrum  , Rock Slide  , Uturn  ,102,5,4,Latin America International
Tornadus ,Focus Sash  ,Prankster  ,Ghost  , Bleakwind Storm  , Icy Wind  , Tailwind  , Rain Dance  ,102,5,4,Latin America International
Amoonguss ,Rocky Helmet  ,Regenerator  ,Water  , Leaf Storm  , Spore  , Rage Powder  , Protect  ,102,5,4,Latin America International
UrshifuRapidStrike ,Choice Scarf  ,Unseen Fist  ,Water  , Close Combat  , Surging Strikes  , Aqua Jet  , Uturn  ,102,5,4,Latin America International
Gholdengo ,Choice Specs  ,Good as Gold  ,Steel  , Make It Rain  , Shadow Ball  , Thunderbolt  , Trick  ,102,5,4,Latin America International
Farigiraf ,Sitrus Berry  ,Armor Tail  ,Fairy  , Dazzling Gleam  , Helping Hand  , Trick Room  , Imprison  ,102,5,4,Latin America International
Tornadus ,Rocky Helmet  ,Prankster  ,Ghost  , Tailwind  , Bleakwind Storm  , Taunt  , Rain Dance  ,103,5,4,Latin America International
UrshifuRapidStrike ,Mystic Water  ,Unseen Fist  ,Water  , Surging Strikes  , Close Combat  , Aqua Jet  , Detect  ,103,5,4,Latin America International
ChienPao ,Focus Sash  ,Sword of Ruin  ,Ghost  , Sucker Punch  , Icicle Crash  , Sacred Sword  , Protect  ,103,5,4,Latin America International
Flutter Mane ,Booster Energy  ,Protosynthesis  ,Fairy  , Moonblast  , Dazzling Gleam  , Shadow Ball  , Protect  ,103,5,4,Latin America International
ArcanineHisui ,Choice Band  ,Intimidate  ,Normal  , Flare Blitz  , Rock Slide  , Extreme Speed  , Psychic Fangs  ,103,5,4,Latin America International
Rilla (Rillaboom) ,Assault Vest  ,Grassy Surge  ,Fire  , Wood Hammer  , Grassy Glide  , Uturn  , Fake Out  ,103,5,4,Latin America International
Gholdengo ,Leftovers  ,Good as Gold  ,Dragon  , Protect  , Nasty Plot  , Shadow Ball  , Make It Rain  ,104,5,4,Latin America International
C4M1L0RD (LandorusTherian) ,Choice Scarf  ,Intimidate  ,Flying  , Rock Slide  , Tera Blast  , Uturn  , Stomping Tantrum  ,104,5,4,Latin America International
P1P1N (Tornadus) ,Sitrus Berry  ,Prankster  ,Ghost  , Tailwind  , Taunt  , Scary Face  , Bleakwind Storm  ,104,5,4,Latin America International
xNaxox (UrshifuRapidStrike) ,Life Orb  ,Unseen Fist  ,Water  , Surging Strikes  , Aqua Jet  , Close Combat  , Detect  ,104,5,4,Latin America International
AMONGHUMMUS (Amoonguss) ,Rocky Helmet  ,Regenerator  ,Water  , Pollen Puff  , Rage Powder  , Protect  , Spore  ,104,5,4,Latin America International
AKA (ChienPao) ,Focus Sash  ,Sword of Ruin  ,Ghost  , Ice Spinner  , Throat Chop  , Sucker Punch  , Protect  ,104,5,4,Latin America International
ChienPao ,Focus Sash  ,Sword of Ruin  ,Ghost  , Icicle Crash  , Sacred Sword  , Sucker Punch  , Protect  ,105,5,4,Latin America International
UrshifuRapidStrike ,Mystic Water  ,Unseen Fist  ,Poison  , Surging Strikes  , Close Combat  , Aqua Jet  , Protect  ,105,5,4,Latin America International
Tornadus ,Rocky Helmet  ,Prankster  ,Ghost  , Tailwind  , Rain Dance  , Taunt  , Bleakwind Storm  ,105,5,4,Latin America International
Flutter Mane ,Booster Energy  ,Protosynthesis  ,Fairy  , Dazzling Gleam  , Shadow Ball  , Moonblast  , Protect  ,105,5,4,Latin America International
Rillaboom ,Assault Vest  ,Grassy Surge  ,Fire  , Uturn  , Grassy Glide  , Fake Out  , Wood Hammer  ,105,5,4,Latin America International
ArcanineHisui ,Choice Band  ,Intimidate  ,Normal  , Extreme Speed  , Flare Blitz  , Rock Slide  , Head Smash  ,105,5,4,Latin America International
ArcanineHisui ,Choice Band  ,Intimidate  ,Normal  , Extreme Speed  , Flare Blitz  , Rock Slide  , Wild Charge  ,106,5,4,Latin America International
Amoonguss ,Rocky Helmet  ,Regenerator  ,Dragon  , Spore  , Rage Powder  , Clear Smog  , Pollen Puff  ,106,5,4,Latin America International
UrshifuRapidStrike ,Mystic Water  ,Unseen Fist  ,Water  , Surging Strikes  , Aqua Jet  , Close Combat  , Protect  ,106,5,4,Latin America International
Kingambit ,Black Glasses  ,Defiant  ,Dark  , Kowtow Cleave  , Sucker Punch  , Swords Dance  , Protect  ,106,5,4,Latin America International
Flutter Mane ,Choice Specs  ,Protosynthesis  ,Fairy  , Dazzling Gleam  , Shadow Ball  , Moonblast  , Thunderbolt  ,106,5,4,Latin America International
Rainmaker (Tornadus) ,Covert Cloak  ,Prankster  ,Steel  , Taunt  , Rain Dance  , Tailwind  , Bleakwind Storm  ,106,5,4,Latin America International
Si j'avais (LandorusTherian) ,Choice Scarf  ,Intimidate  ,Flying  , Stomping Tantrum  , Uturn  , Rock Slide  , Tera Blast  ,107,5,4,Latin America International
Feeling (Flutter Mane) ,Choice Specs  ,Protosynthesis  ,Fairy  , Moonblast  , Dazzling Gleam  , Shadow Ball  , Trick Room  ,107,5,4,Latin America International
ChienPao ,Focus Sash  ,Sword of Ruin  ,Ghost  , Icicle Crash  , Sacred Sword  , Sucker Punch  , Protect  ,107,5,4,Latin America International
Heatran ,Leftovers  ,Flash Fire  ,Fairy  , Magma Storm  , Earth Power  , Substitute  , Protect  ,107,5,4,Latin America International
뽀록나 (Amoonguss) ,Sitrus Berry  ,Regenerator  ,Water  , Spore  , Protect  , Rage Powder  , Pollen Puff  ,107,5,4,Latin America International
